Country Name,Country Code,2020,2021,2022,2023
Albania,ALB,83.88749454,82.38361129,,
Armenia,ARM,63.40121401,60.08035977,,
Australia,AUS,69.21905595,69.90771702,57.97474821,
Austria,AUT,99.90969797,94.53219515,,
Azerbaijan,AZE,22.18999946,16.8224267,,
Belgium,BEL,119.2416398,108.061251,,
Burkina Faso,BFA,73.38519256,55.73742348,,
Bulgaria,BGR,32.2596462,32.81770854,,
"Bahamas, The",BHS,83.97289488,86.18723252,83.6820417,
Bosnia and Herzegovina,BIH,45.42163684,47.02078968,41.84713962,
Brazil,BRA,98.70988195,86.0949822,80.41354898,
Bhutan,BTN,111.0078973,,,
Botswana,BWA,19.61608146,,,
Canada,CAN,74.5540471,71.07396023,61.41786358,
Switzerland,CHE,20.85210767,19.98582518,,
Colombia,COL,91.2232105,80.36988627,70.48877228,
Europe & Central Asia (excluding high income),ECA,30.92378187,28.69013842,,
Spain,ESP,140.2680363,134.102137,,
Estonia,EST,23.75570463,23.66742118,,
France,FRA,122.8904856,116.4888706,,
"Micronesia, Fed. Sts.",FSM,25.40451299,,,
United Kingdom,GBR,195.8849739,185.3526082,,
Georgia,GEO,65.8844131,55.38443198,43.32274013,
Greece,GRC,253.1199311,237.3528786,,
High income,HIC,131.4544429,126.9260067,,
Croatia,HRV,98.77912005,90.99850118,,
Hungary,HUN,96.00468523,87.00239046,,
Indonesia,IDN,42.90179665,44.40397558,,
Ireland,IRL,71.27814814,64.22585458,,
Iceland,ISL,100.6148294,96.68029497,88.46074434,
Jamaica,JAM,106.282373,,,
Jordan,JOR,75.96607269,,,
Japan,JPN,215.7718427,216.3571079,,
Kazakhstan,KAZ,23.7157605,22.41204058,,
Kyrgyz Republic,KGZ,67.95622229,56.36236946,,
"Korea, Rep.",KOR,46.43159664,48.95527864,,
Latin America & Caribbean (excluding high income),LAC,77.94894263,69.82769974,,
Latin America & Caribbean,LCN,77.7274419,69.87232489,,
Lesotho,LSO,2.97229109,,,
Lithuania,LTU,53.31407435,48.62701932,,
Moldova,MDA,33.95557522,32.11877906,34.52131787,
Mexico,MEX,45.85058338,44.8919004,,
Mongolia,MNG,73.93678352,67.57101432,,
Mozambique,MOZ,101.3909294,84.15696171,,
Malaysia,MYS,62.00672151,63.25878018,,
North America,NAC,121.830201,116.1534305,111.0624458,
Nepal,NPL,39.04856313,39.92226864,,
New Zealand,NZL,46.14622249,50.98629335,54.26575864,
OECD members,OED,126.7393906,122.2386826,,
Peru,PER,34.67231303,35.66061351,,
Papua New Guinea,PNG,48.68010121,,,
Post-demographic dividend,PST,132.1347567,127.7183589,,
Romania,ROU,57.1106221,55.57224189,,
Russian Federation,RUS,22.99202104,20.9405403,,
Singapore,SGP,152.0432613,153.7960968,,
Solomon Islands,SLB,11.46390032,,,
El Salvador,SLV,70.35918056,65.54800409,,
San Marino,SMR,98.34762147,95.12009922,,
Slovak Republic,SVK,78.41070879,79.30832197,,
Sweden,SWE,43.99405145,40.47896696,,
Europe & Central Asia (IDA & IBRD countries),TEC,33.46176826,31.26390656,,
Thailand,THA,50.32324742,58.55923136,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,77.71064826,69.82769974,,
Turkiye,TUR,41.80164017,42.57572084,35.24579457,
Uganda,UGA,44.18591431,51.30266235,,
Ukraine,UKR,58.71618507,,,
Uruguay,URY,60.28037332,,,
United States,USA,126.2433005,120.3614756,115.6966316,
South Africa,ZAF,77.37758146,75.41888593,,
Zambia,ZMB,103.6982424,71.41117616,,
